"id","name","normalized_name","display_name","source_type","canonical_source","canonical_url","github_url","gitee_url","pypi_url","npm_url","dockerhub_url","crates_url","owner","repository","version","latest_version","stars","forks","monthly_downloads","file_count","loc_total","size_mb","modules_number","document_number","coverage_tier","language","description","license","latest_publish_date","latest_update_date","tags","status","duplicate_count","stale","stale_days","last_checked","confidence","original_inputs","notes"
"github-awesome-2api","dajiaohuang/awesome-2api","awesome-2api","dajiaohuang/awesome-2api","GITHUB","GITHUB","https://github.com/dajiaohuang/awesome-2api","https://github.com/dajiaohuang/awesome-2api","","","","","","dajiaohuang","awesome-2api","","","N/A","N/A","N/A","36","2700","0.1","22","5","enriched","","GitHub repository","","","2026-09-17T19:03:24.714Z","","NEW","0","false","0","2026-09-17T19:03:24.714Z","HIGH","https://github.com/dajiaohuang/awesome-2api",""
"github-every2api","vimalinx/every2api","every2api","vimalinx/every2api","GITHUB","GITHUB","https://github.com/vimalinx/every2api","https://github.com/vimalinx/every2api","","","","","","vimalinx","every2api","","","N/A","N/A","N/A","36","2700","0.1","22","5","enriched","","GitHub repository","","","2026-09-17T19:03:24.713Z","","NEW","0","false","0","2026-09-17T19:03:24.714Z","HIGH","https://github.com/vimalinx/every2api",""
"github-jimeng-free-api-all","zhizinan1997/jimeng-free-api-all","jimeng-free-api-all","zhizinan1997/jimeng-free-api-all","GITHUB","GITHUB","https://github.com/zhizinan1997/jimeng-free-api-all","https://github.com/zhizinan1997/jimeng-free-api-all","","","","","","zhizinan1997","jimeng-free-api-all","","","N/A","N/A","N/A","36","2700","0.1","22","5","enriched","","GitHub repository","","","2026-09-17T19:03:24.713Z","API","NEW","0","false","0","2026-09-17T19:03:24.713Z","HIGH","https://github.com/zhizinan1997/jimeng-free-api-all",""
"github-orchids-2api","zhangdailin/Orchids-2api","orchids-2api","zhangdailin/Orchids-2api","GITHUB","GITHUB","https://github.com/zhangdailin/Orchids-2api","https://github.com/zhangdailin/Orchids-2api","","","","","","zhangdailin","Orchids-2api","","","N/A","N/A","N/A","36","2700","0.1","22","5","enriched","","GitHub repository","","","2026-09-17T19:03:24.713Z","","NEW","0","false","0","2026-09-17T19:03:24.713Z","HIGH","https://github.com/zhangdailin/Orchids-2api",""
"github-glm-zai-2api","D3-vin/GLM-ZAI-2API","glm-zai-2api","D3-vin/GLM-ZAI-2API","GITHUB","GITHUB","https://github.com/D3-vin/GLM-ZAI-2API","https://github.com/D3-vin/GLM-ZAI-2API","","","","","","D3-vin","GLM-ZAI-2API","","","N/A","N/A","N/A","36","2700","0.1","22","5","enriched","","GitHub repository","","","2026-09-17T19:03:24.713Z","","NEW","0","false","0","2026-09-17T19:03:24.713Z","HIGH","https://github.com/D3-vin/GLM-ZAI-2API",""
"github-aggregate-to-2api","lza6/Aggregate-to-2api","aggregate-to-2api","lza6/Aggregate-to-2api","GITHUB","GITHUB","https://github.com/lza6/Aggregate-to-2api","https://github.com/lza6/Aggregate-to-2api","","","","","","lza6","Aggregate-to-2api","","","N/A","N/A","N/A","36","2700","0.1","22","5","enriched","","GitHub repository","","","2026-09-17T19:03:24.712Z","","NEW","0","false","0","2026-09-17T19:03:24.713Z","HIGH","https://github.com/lza6/Aggregate-to-2api",""
"github-freebuff-2api","lza6/Freebuff-2API","freebuff-2api","lza6/Freebuff-2API","GITHUB","GITHUB","https://github.com/lza6/Freebuff-2API","https://github.com/lza6/Freebuff-2API","","","","","","lza6","Freebuff-2API","","","N/A","N/A","N/A","36","2700","0.1","22","5","enriched","","GitHub repository","","","2026-09-17T19:03:24.712Z","","NEW","0","false","0","2026-09-17T19:03:24.712Z","HIGH","https://github.com/lza6/Freebuff-2API",""
"github-codex2api","james-6-23/codex2api","codex2api","james-6-23/codex2api","GITHUB","GITHUB","https://github.com/james-6-23/codex2api","https://github.com/james-6-23/codex2api","","","","","","james-6-23","codex2api","","","N/A","N/A","N/A","36","2700","0.1","22","5","enriched","","GitHub repository","","","2026-09-17T19:03:24.712Z","","NEW","0","false","0","2026-09-17T19:03:24.712Z","HIGH","https://github.com/james-6-23/codex2api",""
"github-chat2api-wxs","wxs0625/Chat2API-WXS","chat2api-wxs","wxs0625/Chat2API-WXS","GITHUB","GITHUB","https://github.com/wxs0625/Chat2API-WXS","https://github.com/wxs0625/Chat2API-WXS","","","","","","wxs0625","Chat2API-WXS","","","N/A","N/A","N/A","36","2700","0.1","22","5","enriched","","GitHub repository","","","2026-09-17T19:03:24.711Z","","NEW","0","false","0","2026-09-17T19:03:24.711Z","HIGH","https://github.com/wxs0625/Chat2API-WXS",""
"github-aurora","aurora-develop/aurora","aurora","aurora-develop/aurora","GITHUB","GITHUB","https://github.com/aurora-develop/aurora","https://github.com/aurora-develop/aurora","","","","","","aurora-develop","aurora","","","N/A","N/A","N/A","36","2700","0.1","22","5","enriched","","GitHub repository","","","2026-09-17T19:03:24.711Z","","NEW","0","false","0","2026-09-17T19:03:24.711Z","HIGH","https://github.com/aurora-develop/aurora",""
